Index,Album,Song Name,Lyrics
31,Speak Now,Better Than Revenge,go stand corner think ha time little revenge story starts hot summer right wanted came along got alone lets hear applause took faster say sabotage never saw coming wouldnt suspected underestimated dealing know pain beating like drum underestimated stealing shes saint shes think shes actress woah shes better known things mattress woah soon shes gon na find stealing peoples toys playground wont make many friends keep mind keep mind nothing better revenge ha looks life like party shes list looks like im trend shes think everpresent frown little troubling thinks im psycho cause like rhyme name things sophistication isnt wear know pushing people get wan na go oh didnt teach prep school amount vintage dresses gives dignity think shes saint shes think shes actress woah shes better known things mattress woah soon shes gon na find stealing peoples toys playground wont make many friends keep mind keep mind nothing better revenge ha might also like im another thing roll eyes honey might havent heard im another thing roll eyes honey might always get last word woah woahahoh shes saint shes think shes actress woah deserved shes better known things mattress woah soon shes gon na find stealing peoples toys playground wont make many friends keep mind keep mind nothing better revenge still feel like know youre cause dont think oh still feel like know youre dont think dont think lets hear applause come come come show much better much better yeah see deserve applause cause youre much better took faster could say sabotage
32,Speak Now,Sparks Fly,way move like full rainstorm im house cards youre kind reckless send runnin kinda know wont get far stood front close enough touch close enough hope couldnt see thinkin drop everything meet pouring rain kiss sidewalk take away pain cause see sparks fly whenever smile get green eyes baby lights go give something thatll haunt youre around cause see sparks fly whenever smile mind forgets remind youre bad idea touch really somethin find im even better imagined would im guard rest world know good could wait patiently really wish would drop everything meet pouring rain kiss sidewalk take away pain cause see sparks fly whenever smile get green eyes baby lights go give something thatll haunt youre around cause see sparks fly whenever smile run fingers hair watch lights go wild keep keepin eyes wrong enough make feel right lead staircase wont whisper soft slow im captivated baby like firework show drop everything meet pouring rain kiss sidewalk ahah take away pain cause see sparks fly whenever smile get green eyes baby lights go give something thatll haunt youre around cause see sparks fly whenever smile might also like sparks fly oh baby smile sparks fly
33,Speak Now,Long Live,said remember moment back mind time stood shaking hands crowds stands went wild kings queens read names night danced like knew lives would never held head like hero history book page end decade start age long live walls crashed kingdom lights shined screaming long live magic made bring pretenders one day remembered said remember feeling pass pictures around years stood sidelines wishing right kings queens traded baseball cap crown gave us trophies held town cynics outraged screaming absurd cause moment band thieves ripped jeans got rule world long live walls crashed kingdom lights shined screaming long live magic made bring pretenders im afraid long live mountains moved time life fighting dragons screaming long live look face bring pretenders one day remembered might also like hold spinning around confetti falls ground may memories break fall take moment promise youll stand forever god forbid fate step force us goodbye children day point pictures please tell em name tell em crowds went wild tell em hope shine long live walls crashed time life long long live walls crashed kingdom lights shined screaming long live magic made bring pretenders im afraid singing long live mountains moved time life fighting dragons long long live look face bring pretenders one day remembered
34,Speak Now,Never Grow Up,little hands wrapped around finger quiet world tonight little eyelids flutter cause youre dreaming tuck turn favorite nightlight everythings funny got nothing regret id give honey could stay like oh darling dont ever grow dont ever grow stay little oh darling dont ever grow dont ever grow could stay simple wont let nobody hurt wont let one break heart one desert try never grow never grow youre car way movies youre mortified moms dropping fourteen theres much cant cant wait move someday call shots dont make drop around block remember shes getting older dont lose way dance around pjs getting ready school oh darling dont ever grow dont ever grow stay little oh darling dont ever grow dont ever grow could stay simple ones ever burned nothings ever left scarred even though want try never grow take pictures mind childhood room memorize sounded like dad gets home remember footsteps remember words said little brothers favorite songs realized everything someday gon na gone new apartment big city dropped much colder thought would tuck turn nightlight wish id never grown wish id never grown might also like oh dont wan na grow wish id never grown could still little oh dont wan na grow wish id never grown could still simple oh darling dont ever grow dont ever grow stay little oh darling dont ever grow dont ever grow could stay simple wont let nobody hurt wont let one break heart even though want please try never grow oh oh dont ever grow oh never grow never grow
35,Speak Now,The Story Of Us,used think one day wed tell story us met sparks flew instantly people would say theyre lucky ones used know place spot next im searching room empty seat cause lately dont even know page youre oh simple complication miscommunications lead fallout many things wish knew many walls cant break im standing alone crowded room speaking im dying know killing like killing yeah dont know say since twist fate broke story us looks lot like tragedy next chapter howd end way see nervously pulling clothes trying look busy youre best avoid im starting think one day ill tell story us losing mind saw held pride like shouldve held oh im scared see ending pretending nothing id tell miss dont know ive never heard silence quite loud might also like im standing alone crowded room speaking im dying know killing like killing yeah dont know say since twist fate broke story us looks lot like tragedy looking like contest act like care less liked better side battles hands would lay armor said youd rather love fight many things wish knew story us might ending soon im standing alone crowded room speaking im dying know killing like killing yeah dont know say since twist fate broke story us looks lot like tragedy speaking im dying know killing like killing yeah dont know say since twist fate cause goin story us looks lot like tragedy end
36,Speak Now,Speak Now,kind girl rudely bargin white veil occasion kind boy marrying wrong girl sneak see friends snotty little family dressed pastel yelling bridesmaid somewhere back inside room wearin gown shaped like pastry surely thought would lose daydream stand say dont say yes run away ill meet youre church back door dont wait say single vow need hear said speak fond gestures exchanged organ starts play song sounds like death march hiding curtains seems uninvited lovely bridetobe floats aisle like pageant queen know wish wish dont dont say yes run away ill meet youre church back door dont wait say single vow need hear said speak dont say yes run away run away ill meet youre church back door dont wait say single vow say single vow time running said speak might also like ooh run away la ooh say single vow ooh hear preacher say speak forever hold peace theres silence theres last chance stand shaky hands eyes horrified looks everyone room im lookin kind girl rudely bargin white veil occasion kind boy marrying wrong girl haha dont say yes run away ill meet youre church back door dont wait say single vow need hear said speak say lets run away run away ill meet im tux back door baby didnt say vows say single vow glad around said speak
37,Speak Now,Last Kiss,still remember look face lit darkness 158 words whispered us know told loved go away away recall smell rain fresh pavement ran plane july ninth beat heart jumps shirt still feel arms ill go sit floor wearing clothes know dont know something miss never thought wed last kiss never imagined wed end like name forever name lips remember swing step life party youre showing id roll eyes youd pull im much dancing love handshake meeting father love walk hands pockets youd kiss middle saying something theres day dont miss rude interruptions ill go sit floor wearing clothes know dont know something miss might also like never thought wed last kiss never imagined wed end like name forever name lips ooh ill watch life pictures like used watch sleep feel forget like used feel breathe ill keep old friends ask hope nice hope sun shines beautiful day something reminds wish stayed plan change weather time never planned changing mind ill go sit floor wearing clothes know dont know something miss never thought wed last kiss never imagined wed end like name forever name lips like last kiss forever name lips forever name lips like last
38,Speak Now,Enchanted,tonight forcing laughter faking smiles old tired lonely place walls insincerity shifting eyes vacancy vanished saw face say enchanting meet eyes whispered met across room silhouette starts make way playful conversation starts counter quick remarks like passing notes secrecy enchanting meet say enchanted meet night sparkling dont let go im wonderstruck blushing way home ill spend forever wondering knew enchanted meet lingering question kept 2am love wonder til im wide awake im pacing back forth wishing door id open would say hey enchanting meet know enchanted meet night sparkling dont let go im wonderstruck blushing way home ill spend forever wondering knew night flawless dont let go im wonderstruck dancing around alone ill spend forever wondering knew enchanted meet might also like praying first page storyline ends thoughts echo name see words held back leaving soon enchanted meet please dont love someone else please dont somebody waiting please dont love someone else ooh please dont somebody waiting ooh oh night sparkling dont let go im wonderstruck blushing way home ill spend forever wondering knew night flawless please dont love someone else dont let go im wonderstruck please dont somebody waiting dancing around alone ill spend forever please dont love someone else wondering knew enchanted meet please dont love someone else please dont somebody waiting
39,Speak Now,Mean,words like knives swords weapons use knocked feet got feeling like im nothing voice like nails chalkboard calling im wounded pickin weaker man well take one single blow dont know dont know someday ill livin big old city youre ever gon na mean someday ill big enough cant hit youre ever gon na mean got ta mean switching sides wildfire lies humiliation pointed flaws dont already see walk head trying block cause ill never impress wan na feel okay bet got pushed around somebody made cold cycle ends right cause cant lead road dont know dont know someday ill livin big old city youre ever gon na mean someday ill big enough cant hit youre ever gon na mean got ta mean might also like see years bar talking football game big loud opinion nobodys listening washed ranting old bitter things drunk grumblin cant sing mean mean liar pathetic alone life mean mean mean mean someday ill livin big old city youre ever gon na mean yeah someday ill big enough cant hit youre ever gon na mean got ta mean someday ill livin big old city got ta mean youre ever gon na mean got ta mean someday ill big enough cant hit got ta mean youre ever gon na mean got ta mean
40,Speak Now,Haunted,walk fragile line known time never thought id live see break getting dark quiet cant trust anything coming like big mistake woah holding breath wont lose somethings made eyes go cold come come dont leave like thought figured somethings gone terribly wrong youre wanted come come dont leave like thought figured cant breathe whenever youre gone cant turn back im haunted stood watched walk away everything still mean every word said try take away pain might make smile whole time im wishing instead oh holding breath wont see something keeps holding onto nothing come come dont leave like thought figured somethings gone terribly wrong youre wanted come come dont leave like thought figured cant breathe whenever youre gone cant turn back im haunted might also like know know know youre gone cant gone come come dont leave like thought figured somethings gone terribly wrong wont finish started come come dont leave like thought figured cant breathe whenever youre gone cant go back im haunted ohoh ohoh ohoh oh walk fragile line known time never ever thought id see break never thought id see
