album_name,track_title,track_n,lyric,line
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,mmmmm mmmm,2
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,mmmmm mmmm yeah,3
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,hey stephen i know looks can be deceiving,4
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,but i know i saw a light in you,5
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,and as we walked we were talking,6
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,i didnt say half the things i wanted to,7
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,of all the girls tossing rocks at your window,8
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,ill be the one waiting there even when its cold,9
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,hey stephen boy you might have me believing,10
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,i dont always have to be alone,11
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,cause i cant help it if you look like an angel,12
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,cant help it if i wanna kiss you in the rain so,13
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,come feel this magic ive been feeling since i met you,14
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,cant help it if theres no one else,15
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,mmm i cant help myself,16
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,hey stephen ive been holding back this feeling,17
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,so i got some things to say to you,18
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,ive seen it all so i thought,19
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,but i never seen nobody shine the way you do,20
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,the way you walk way you talk way you say my name,21
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,its beautiful wonderful dont you ever change,22
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,hey stephen why are people always leaving,23
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,i think you and i should stay the same,24
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,cause i cant help it if you look like an angel,25
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,cant help it if i wanna kiss you in the rain so,26
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,come feel this magic ive been feeling since i met you,27
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,cant help it if theres no one else,28
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,mmm i cant help myself,29
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,theyre dimming the street lights youre perfect for me,30
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,why arent you here tonight,31
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,im waiting alone now so come on and come out,32
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,and pull me near and shine shine shine,33
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,hey stephen i could give you fifty reasons,34
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,why i should be the one you choose,35
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,all those other girls well theyre beautiful,36
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,but would they write a song for you hahaha,37
